科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"1104202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","1H101
1C306",宮坂 渉,"対面
オンデマンド
同時双方向",これからの大学生活のあり方を共に考え、社会科学の特質と方法の学習に必要な基礎づくりをする。,社会2クラス対象 CDP. 対面 授業内容と状況に応じて、同時双方向、オンデマンド、その他の形態となる可能性がある。その場合は事前に周知する。
"1104302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","1H101
1C406",高橋 秀直,"対面
オンデマンド
同時双方向",これからの大学生活のあり方を共に考え、社会科学の特質と方法の学習に必要な基礎づくりをする。,社会3クラス対象 担当教員については後日、掲示で周知予定 CDP. 対面 授業内容と状況に応じて、同時双方向、オンデマンド、その他の形態となる可能性がある。その場合は事前に周知する。
"1105102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A209,茅根 由佳,対面,初年次において、大学と大学生活に関する理解を深めるとともに、国際関係をいかに学んでいくかについて教員とコミュニケーションを図りつつ共に考える。,国際1クラス対象 CDP. 対面
"1105202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A207,CHOTANI MAI VINDU,対面,初年次において、大学と大学生活に関する理解を深めるとともに、国際関係をいかに学んでいくかについて教員とコミュニケーションを図りつつ共に考える。,国際2クラス対象 CDP. 対面
"1106102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","2A409
2B411","田中 マリア
古田 雄一",対面,「大学と大学生活に関する理解」を深め「学問研究への動機づけ」を高めると共に、教員と学生及び学生間の好ましい人間関係の成立を図るため、その内容と方法を組織する。,教育1・2クラス対象 対面(オンライン併用型)
"1107102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2B411,菅原 大地,対面,大学と大学生活に関する理解を深め、学問研究への動機づけを高めるとともに、教員と学生及び学生間の好ましい人間関係の成立を図るため、その内容と方法を組織する。,心理1クラス対象 CDP. 対面(オンライン併用型)
"1107202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2B411,松田 壮一郎,対面,大学と大学生活に関する理解を深め、学問研究への動機づけを高めるとともに、教員と学生及び学生間の好ましい人間関係の成立を図るため、その内容と方法を組織する。,心理2クラス対象 CDP. 対面(オンライン併用型)
"1108102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","2B411
2A410",森地 徹,対面,大学と大学生活に関する理解を深め、「学問研究への動機付け」を高められるように、障害科学類のカリキュラム及び学生生活についてガイダンスを行うとともに、教員と学生及び学生間のコミュニケーションを図る。,障害1クラス対象、対面 CDP. 対面(オンライン併用型)
"1108202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2","2B411
2A410","森地 徹
石塚 祐香",対面,大学と大学生活に関する理解を深め、「学問研究への動機付け」を高められるように、障害科学類のカリキュラム及び学生生活についてガイダンスを行うとともに、教員と学生及び学生間のコミュニケーションを図る。,障害2クラス対象、対面 CDP. 対面(オンライン併用型)
"1109102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4","2B411
2D205",和田 洋,対面,"新入生としての自覚をもとに,大学生はどうあるべきかを討議し,どう進むべきかを思考するなど,大学生活をよりよく送るための導入を行う。",生物1クラス対象 CDP. 対面
"1109202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",2D206,小口 太一,対面,"新入生としての自覚をもとに,大学生はどうあるべきかを討議し,どう進むべきかを思考するなど,大学生活をよりよく送るための導入を行う。",生物2クラス対象 CDP. 対面
"1109302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",2C403,岡根 泉,対面,"新入生としての自覚をもとに,大学生はどうあるべきかを討議し,どう進むべきかを思考するなど,大学生活をよりよく送るための導入を行う。",生物3クラス対象 CDP. 対面
"1109402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",2C407,松﨑 仁美,対面,"新入生としての自覚をもとに,大学生はどうあるべきかを討議し,どう進むべきかを思考するなど,大学生活をよりよく送るための導入を行う。",生物4クラス対象 CDP. 対面
"1109502
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","秋AB
応談",,,対面,"新入生としての自覚をもとに,大学生はどうあるべきかを討議し,どう進むべきかを思考するなど,大学生活をよりよく送るための導入を行う。",秋学期入学者対象 履修登録は事務で行う。 CDP. 対面 対象者が受講する場合に限り開講する。
"1110102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2D307,川田 清和,対面,"筑波大学の各種の組織や運営,生物資源学類のカリキュラムのあり方,学問研究への方向づけ,クラス制度の役割,大学と社会,新しい人間関係の促進について指導に当たる。",資源1クラス対象 CDP. 対面
"1110202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2D306,松倉 千昭,対面,"筑波大学の各種の組織や運営,生物資源学類のカリキュラムのあり方,学問研究への方向づけ,クラス制度の役割,大学と社会,新しい人間関係の促進について指導に当たる。",資源2クラス対象 CDP. 対面
"1110302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2D305,奈佐原 顕郎,対面,"筑波大学の各種の組織や運営,生物資源学類のカリキュラムのあり方,学問研究への方向づけ,クラス制度の役割,大学と社会,新しい人間関係の促進について指導に当たる。",資源3クラス対象 CDP. 対面
"1110402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",2D304,松山 茂,対面,"筑波大学の各種の組織や運営,生物資源学類のカリキュラムのあり方,学問研究への方向づけ,クラス制度の役割,大学と社会,新しい人間関係の促進について指導に当たる。",資源4クラス対象 CDP. 対面
"1111102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E303,"角替 敏昭
ドアン グアン ヴァン",対面,"学類の概要や,学習および学生生活に関する基本事項を確認するとともに,教員と学生および学生間のコミュニケーションを図る。",地球1クラス対象． CDP. 対面
"1111202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E303,"角替 敏昭
ドアン グアン ヴァン",対面,"学類の概要や,学習および学生生活に関する基本事項を確認するとともに,教員と学生および学生間のコミュニケーションを図る。",地球2クラス対象． CDP. 対面
"1111302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","秋A
集中",,"ドアン グアン ヴァン
角替 敏昭",対面,"学類の概要や,学習および学生生活に関する基本事項を確認するとともに,教員と学生および学生間のコミュニケーションを図る。",秋学期入学者対象 CDP. 対面
"1112102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E402,"山本 光
大谷内 奈穂",対面,初年次において，大学と大学生活に関する理解を深め，学問研究への動機付けを高めるための指導を行うとともに，教員と学生および学生間のコミュニケーションを深める．,数学類対象 CDP. 対面
"1113102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E102,清水 則孝,"対面
オンデマンド","グループ研究,研究施設見学,クラス担任との話し合いを通して,大学での勉学を効果的に進め,充実した学生生活を送るための知識・経験を身につける。",物理学類対象 CDP. 対面(オンライン併用型) 対面とオンライン（オンデマンド）とのハイブリッド授業
"1114102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E203,"江波 進一
石塚 智也",対面,"クラス担任との話し合いを通じて,自然科学への理解を深める。",化学類1クラス対象 CDP. 対面
"1114202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",1E203,"石塚 智也
江波 進一",対面,"クラス担任との話し合いを通じて,自然科学への理解を深める。",化学類2クラス対象 CDP. 対面
"1115102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A202
3A305",森 龍也,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生及び学生間のコミュニケーションを図る。",応理1クラス対象 CDP. G科目. 対面
"1115202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A202
3A311",櫛田 創,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生及び学生間のコミュニケーションを図る。",応理2クラス対象 CDP. G科目. 対面
"1115302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A202
3A408",長谷川 友里,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生及び学生間のコミュニケーションを図る。",応理3クラス対象 CDP. G科目. 対面
"1116102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A203
3A207
3A308
3A312",金久保 利之,対面,"大学での生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。併せて,コンピュータ利用についてのガイダンスと施設見学、専門分野学習への動機付け支援を目的としてキャリア教育を行う。",工シス1クラス対象 CDP. 対面(オンライン併用型)
"1116202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A203
3A207
3A308
3A312",境野 翔,対面,"大学での生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。併せて,コンピュータ利用についてのガイダンスと施設見学、専門分野学習への動機付け支援を目的としてキャリア教育を行う。",工シス2クラス対象 CDP. 対面(オンライン併用型)
"1116302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A203
3A207
3A308
3A312",横田 茂,対面,"大学での生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。併せて,コンピュータ利用についてのガイダンスと施設見学、専門分野学習への動機付け支援を目的としてキャリア教育を行う。",工シス3クラス対象 CDP. 対面(オンライン併用型)
"1116402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2","3A203
3A207
3A308
3A312",三目 直登,対面,"大学での生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。併せて,コンピュータ利用についてのガイダンスと施設見学、専門分野学習への動機付け支援を目的としてキャリア教育を行う。",工シス4クラス対象 CDP. 対面(オンライン併用型)
"1117102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",3B204,阿武 秀和,"対面
オンデマンド",初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間 のコミュニケーションを深める。,社工1クラス対象 CDP. 対面(オンライン併用型) オンライン(オンデマンド型)＋一部対面
"1117202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",3B301,Tran Lam Anh Duong,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間 のコミュニケーションを深める。,社工2クラス対象 CDP. 対面(オンライン併用型)
"1117302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",3B304,黒瀬 雄大,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,社工3クラス対象 CDP. 対面(オンライン併用型)
"1117402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",3B305,有田 智一,"対面
オンデマンド",初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間 のコミュニケーションを深める。,社工4クラス対象 CDP. 対面(オンライン併用型) オンライン(オンデマンド型)＋一部対面
"1118102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A212,冨安 洋史,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,情報1クラス対象 CDP. 対面
"1118202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A213,鹿野 豊,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,情報2クラス対象 CDP. 対面
"1118302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A408,建部 修見,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,情報3クラス対象 CDP. 対面
"1118402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",3A415,飯塚 里志,対面,初年次において、大学と大学生活に関する理解を深め、学問研究への動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,情報4クラス対象 CDP. 対面
"1119102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火5",7A106,"徳永 隆治
金 尚泰
陳 漢雄",対面,初年次において、大学と大学生活に関する理解を深め、学問研究への 動機付けを高めるための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。,創成対象 CDP. 対面(オンライン併用型)
"1120102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
水3",春日講堂,白井 哲哉,対面,教室内外の活動を通して、大学と社会の関係や大学における生活、学問に対する取り組み方などについて指導を行いつつ、教員と学生間及び学生相互間のコミュニケーションを図る。,知識1年1クラスと2年次以上対象。 CDP. 対面
"1120202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
水3",春日講堂,阪口 哲男,対面,教室内外の活動を通して、大学と社会の関係や大学における生活、学問に対する取り組み方などについて指導を行いつつ、教員と学生間及び学生相互間のコミュニケーションを図る。,知識2クラス対象。 CDP. 対面
"1121102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4A103,桝 和子,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学1クラス対象 CDP. オンライン(対面併用型)
"1121202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4A104,川﨑 綾,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学2クラス対象 CDP. オンライン(対面併用型)
"1121302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",共同利用棟B203,齊藤 夕貴,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学3クラス対象 CDP. オンライン(対面併用型)
"1121402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4A203,菅野 幸子,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学4クラス対象 CDP. オンライン(対面併用型)
"1121502
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4A304,堀 大介,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学5クラス対象 CDP. オンライン(対面併用型)
"1121602
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4A411,吉原 雅大,対面,"医学教育及び学生生活上の諸問題の適切な指導,助言を行い,学生との相互コミュニケーションを深める。",医学6クラス対象 CDP. オンライン(対面併用型)
"1122102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4B101,柴山 大賀,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。",看護Aクラス対象 CDP. オンライン(対面併用型)
"1122202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4C講義室B,安梅 勅江,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。",看護Bクラス対象 CDP. オンライン(対面併用型)
"1122302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4B115,水野 智美,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。",看護Cクラス対象 CDP. 対面
"1122402
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",4B116,Togoobaatar Ganchimeg,対面,"大学生としての生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。",看護Dクラス対象 CDP. オンライン(対面併用型)
"1122502
Japan-Expertファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","秋AB
集中",大学会館B棟408,三好 優花,対面,筑波大学Japan-Expertプログラムの学生として充実した大学生活を送るために、利用可能な大学内の支援環境を学ぶ。,Japan-Expert(学士)プログラム生に限る CDP. 対面
"1123102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",,"尾崎 遼
牛島 由理",オンデマンド,"大学生としての生活,学習についての指導を行いつつ,教員と学生および学生間のコミュニケーションを図る。",医療科学類対象 CDP. オンライン(オンデマンド型)
"1124012
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C402,岡田 弘隆,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育1クラス対象 CDP. 対面
"1124022
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C403,大石 純子,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育2クラス対象 CDP. 対面
"1124032
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C404,武政 徹,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育3クラス対象 CDP. 対面
"1124042
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C412,川村 卓,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育4クラス対象 CDP. 対面
"1124052
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C413,向井 直樹,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育5クラス対象 CDP. 対面
"1124062
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C502,中山 紗織,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育6クラス対象 CDP. 対面
"1124072
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C503,門間 貴史,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育7クラス対象 CDP. 対面
"1124082
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C504,仙石 泰雄,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育8クラス対象 CDP. 対面
"1124092
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C512,國部 雅大,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育9クラス対象 CDP. 対面
"1124102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金5",5C514,平田 浩祐,対面,"大学生としての学習,運動・競技及び生活の指導を行い,学習態度,履修問題等教員・学生間のコミュニケーションを図る。",体育10クラス対象 CDP. 対面
"1125102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",5C213,程塚 敏明,対面,筑波大学の組織・運営・芸術専門学群の各領域のカリキュラム及び学生生活についてガイダンスを行い、教員・学生相互のコミュニケーションを図る。,芸術1クラス対象 CDP. 対面
"1125202
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",5C213,村上 史明,対面,筑波大学の組織・運営・芸術専門学群の各領域のカリキュラム及び学生生活についてガイダンスを行い、教員・学生相互のコミュニケーションを図る。,芸術2クラス対象 CDP. 対面
"1125302
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
火4",5C213,内山 俊朗,対面,筑波大学の組織・運営・芸術専門学群の各領域のカリキュラム及び学生生活についてガイダンスを行い、教員・学生相互のコミュニケーションを図る。,芸術3クラス対象 CDP. 対面
"1130012
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1B403,菊池 そのみ,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類1クラス対象 CDP. 対面
"1130022
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2B206,濱田 真,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類2クラス対象 CDP. 対面
"1130032
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",2B207,鈴木 伸隆,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類3クラス対象 CDP. 対面
"1130042
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1B302,竹中 佳彦,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類4クラス対象 CDP. 対面
"1130052
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C504,山海 知子,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類5クラス対象 CDP. 対面
"1130062
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
木2",5C503,照山 絢子,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第1類6クラス対象 CDP. 対面
"1130072
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1E503,白川 直樹,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類1クラス対象 CDP. 対面
"1130082
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1E504,ドアン グアン ヴァン,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類2クラス対象 CDP. 対面
"1130092
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1E505,飯田 崇史,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類3クラス対象 CDP. 対面
"1130102
ファーストイヤーセミナー
シラバスシラバス（ミラー）","1.0単位
1年次","春AB
金2",1E506,西村 賢宣,対面,初年次において、大学と大学生活に関する理解を深め、広い視野に立った学問研究への動機付けを高め、キャリアプランを主体的に設計するための指導を行うとともに、教員と学生および学生間のコミュニケーションを深める。併せて、2 年次の移行までの学修について理解を深める。,総学第2類4クラス対象 CDP. 対面
